日付,10R_1着,10R_2着,10R_3着,10R_払戻,11R_1着,11R_2着,11R_3着,11R_払戻,12R_1着,12R_2着,12R_3着,12R_払戻,10R_人気,11R_人気,12R_人気,10R_風速,10R_風向,10R_波高,11R_風速,11R_風向,11R_波高,12R_風速,12R_風向,12R_波高
2023-04-05,1,2,4,850,1,3,2,620,1,6,3,11390,1,1,26,2,1,1,2,1,1,3,15,2
2023-04-06,1,2,4,890,1,3,4,1340,3,5,4,14770,4,6,33,1,5,1,1,5,1,1,1,1
2023-04-07,1,5,2,5350,1,2,3,450,2,1,3,1780,13,1,8,4,9,3,3,9,2,3,9,2
2023-04-08,1,2,3,880,1,5,6,8190,2,1,3,2900,1,21,11,5,9,4,6,9,5,3,11,2
2023-04-12,1,6,5,3680,1,3,5,850,1,3,2,1270,14,3,5,4,11,3,4,11,3,2,11,1
2023-04-13,1,2,5,1180,1,2,6,3000,1,3,4,1200,4,10,4,1,9,1,1,1,1,2,3,1
2023-04-14,1,4,3,950,1,6,2,3420,1,4,3,2190,3,11,10,4,15,3,0,17,1,2,9,1
2023-04-15,2,3,1,26900,1,4,2,1020,1,2,5,2210,35,6,9,5,9,4,5,9,4,5,9,4
2023-04-16,1,2,5,820,1,2,3,700,3,5,1,14330,3,1,36,8,7,7,8,9,7,7,5,6
2023-04-17,1,3,5,1190,1,4,3,1530,2,3,1,11750,4,7,25,1,7,1,1,1,1,1,15,1
2023-04-24,1,2,6,1180,5,2,6,2140,1,2,3,1280,3,9,3,2,1,1,2,1,1,2,1,1
2023-04-25,1,4,6,2010,1,2,3,790,1,2,5,2810,9,2,11,1,15,1,1,1,1,4,9,3
2023-04-26,1,3,2,2230,1,4,5,1210,5,4,6,4940,9,5,21,3,9,2,2,9,1,1,11,1
2023-04-27,1,3,2,450,1,2,3,440,1,3,4,1580,1,1,6,0,17,1,0,17,1,1,1,1
2023-04-28,1,2,3,640,1,4,6,4230,1,3,6,3510,1,13,12,2,15,1,2,15,1,2,1,1
2023-04-29,1,2,4,990,1,3,4,1080,1,4,3,3230,2,5,11,3,9,2,2,9,1,2,9,1
2023-04-30,1,3,2,610,1,2,3,1040,2,3,4,10000,2,1,28,3,9,2,2,9,1,1,9,1
2023-05-06,2,4,1,19490,2,3,1,6930,1,3,2,710,34,23,2,3,5,2,3,9,2,2,9,1
2023-05-07,1,4,6,4530,1,4,2,980,1,6,2,2690,16,4,11,6,11,5,7,11,6,7,9,6
2023-05-08,2,3,6,24200,1,2,3,580,1,3,4,510,49,2,1,2,9,1,4,11,3,3,9,2
2023-05-09,1,2,5,2020,1,3,4,350,1,3,6,2570,10,1,11,2,9,1,2,9,1,2,9,1
2023-05-10,1,3,4,1380,1,3,4,660,1,4,3,4760,4,2,16,2,9,1,2,9,1,3,9,2
2023-06-20,2,1,4,3660,5,4,6,113190,1,5,3,1280,13,77,7,2,3,1,2,1,1,3,1,2
2023-06-21,1,3,5,3990,1,3,6,830,4,5,3,74920,15,1,95,2,3,1,1,3,1,2,3,1
2023-06-22,1,2,4,570,2,1,3,1130,1,5,2,3220,1,5,12,3,9,2,2,9,1,3,9,2
2023-06-23,3,1,4,3100,2,3,1,7930,1,3,2,640,9,24,3,1,9,1,1,9,1,1,9,1
2023-06-26,1,2,6,5650,1,5,4,2670,1,2,4,1280,18,12,6,2,3,1,2,3,1,2,3,1
2023-06-27,1,2,6,3350,1,3,5,1050,3,1,2,5690,11,3,22,3,5,2,2,3,1,2,3,1
2023-06-28,1,4,2,1060,1,4,2,980,1,2,3,570,6,3,1,4,5,3,4,5,3,4,5,3
2023-06-29,1,2,4,770,3,1,4,3240,1,2,6,1580,2,10,4,5,5,4,4,5,3,5,5,4
2023-07-01,1,3,5,2380,1,5,4,5160,1,5,3,1460,8,18,5,1,1,1,1,1,1,1,15,1
2023-07-02,1,3,6,2170,4,5,1,24520,1,2,3,500,9,44,3,1,3,1,0,17,1,2,9,1
2023-07-03,4,6,1,5590,1,3,2,1630,1,3,5,1050,18,5,4,1,3,1,1,3,1,0,17,1
2023-07-04,1,2,4,460,1,4,5,6390,3,1,4,4130,2,14,12,2,1,1,2,1,1,1,3,1
2023-07-05,1,3,5,2550,1,2,3,490,1,5,3,1870,10,1,7,2,3,1,2,3,1,2,3,1
2023-07-06,1,2,4,1440,1,4,2,1160,1,3,4,870,4,5,2,2,3,1,2,3,1,3,3,2
2023-07-11,1,6,2,1620,1,2,4,1170,1,2,3,910,6,3,1,2,3,1,2,3,1,2,3,1
2023-07-12,1,2,6,430,1,3,2,940,2,3,6,15820,1,3,34,3,3,2,3,3,2,2,3,1
2023-07-13,1,3,5,620,1,2,3,770,1,2,5,430,1,3,1,3,3,2,3,3,2,3,3,2
2023-07-14,1,2,6,7080,1,2,6,3990,2,1,3,650,16,11,2,4,3,3,4,3,3,4,3,3
2023-07-15,1,3,5,3200,4,1,2,18490,3,1,2,4990,11,31,19,3,3,2,4,3,3,4,3,3
2023-07-16,3,1,2,8590,5,2,4,40540,1,4,5,1910,29,61,7,1,5,1,1,3,1,0,17,1
2023-07-19,1,2,3,950,4,1,2,26930,2,1,4,3250,1,39,14,4,11,3,2,9,1,2,9,1
2023-07-20,1,2,5,670,1,3,2,620,1,4,5,1170,1,1,3,2,9,1,2,9,1,2,9,1
2023-07-21,1,2,4,1090,1,4,5,1230,1,3,4,610,5,1,1,1,5,1,0,17,1,1,3,1
2023-07-22,1,3,6,5460,1,2,3,410,1,3,4,780,16,1,2,1,5,1,1,3,1,1,3,1
2023-07-23,1,2,4,550,3,4,2,10180,2,1,6,4950,1,32,16,2,3,1,2,1,1,2,1,1
2023-07-27,1,3,4,770,1,2,5,1860,1,3,2,1130,1,4,4,3,9,2,2,11,1,2,9,1
2023-07-28,1,5,2,960,1,2,6,780,1,2,3,460,4,2,1,3,9,2,3,9,2,2,9,1
2023-07-29,1,3,2,3850,1,3,2,1730,1,3,4,490,13,8,1,2,9,1,7,3,6,1,1,1
2023-07-30,2,4,3,12000,3,1,6,11880,1,4,5,970,30,22,3,2,9,1,2,9,1,1,15,1
2023-07-31,1,4,3,2040,5,4,1,24100,2,3,4,1450,6,45,1,1,9,1,2,15,1,1,3,1
2023-08-07,1,3,4,750,1,2,5,2250,1,4,2,1350,1,8,6,4,15,3,4,15,3,3,15,2
2023-08-08,5,4,1,31940,3,2,1,3520,1,2,3,620,70,11,2,7,13,6,8,13,7,7,13,6
2023-08-10,1,3,4,560,1,3,4,690,1,3,4,2230,1,1,9,2,3,1,2,3,1,1,3,1
2023-08-11,1,4,2,1570,1,3,2,610,1,3,6,1800,7,2,8,0,17,1,2,7,1,2,3,1
2023-08-12,4,2,1,8030,5,4,6,18060,3,1,4,2750,23,56,9,1,9,1,2,7,1,2,7,1
2023-08-14,4,5,2,13220,1,2,3,840,1,3,6,2670,38,2,11,5,11,4,4,11,3,4,11,3
